Card Number,First Name,Last Name,Address,Contact,Gender,Email,Occupation
MUS1680004,Bibek,Tamrakar,Lazimpat,984616876,Male,bibibek@yahoo.com,Teacher
MUS1694228,Anjil,Shrestha,Pepsicola,988784684,Male,yenjail16@gmail.com,Developer
MUS1647224,Lionel,Messi,Barcelona,987648468,Male,messi@lionel.com,Athelete
MUS1605994,Nistha,Shrestha,Sanepa,98944684,Female,nistha@gmail.com,Manager
MUS1620331,Prajan,Acharya,Bhaktapur,984684646,Male,prajan@yahoo.com,Lecturer
MUS1677511,Prajan,Acharya,Bhaktapur,984948984,Female,prajan@gmail.com,Conductor
MSE1647224,Ram,Shrestha,Lazimpat,984616876,Male,ram@yahoo.com,Teacher
MSE1605996,Shyam,Adhikari,Pepsicola,988784684,Male,shyam16@gmail.com,Developer
MSE1680007,Hari,Acharya,Barcelona,987648468,Male,hari@lionel.com,Athelete
MUS1639872,Aastha,Ghimire,Sinamangal,981231231,Female,aasth@gmail.com,Student
